artist,album,title,date_time
Death Grips,The Powers That B,Have a Sad Cum BB,
Death Grips,The Powers That B,I Break Mirrors With My Face in the United States,10/10/23 5:41
Death Grips,The Powers That B,Pss Pss,10/10/23 5:36
Death Grips,The Powers That B,Why a Bitch Gotta Lie,10/10/23 5:32
Death Grips,The Money Store,The Fever (Aye Aye),10/10/23 5:28
Peter Gabriel,Up,The Drop,10/9/23 18:38
Talking Heads,Stop Making Sense (Live),Genius Of Love (Tom Tom Club) - Live,10/9/23 18:38
Peter Gabriel,Up,The Drop,10/9/23 18:35
Peter Gabriel,Up,The Drop,10/9/23 18:32
Pony,Haunted House (Remix),Haunted House (Remix),10/8/23 23:47
Radiohead,In Rainbows,Weird Fishes/ Arpeggi,10/8/23 5:33
New Found Glory,Sticks and Stones,Head on Collision,10/8/23 5:15
Pearl Jam,Backspacer,The Fixer,10/8/23 5:11
My Chemical Romance,Under Pressure,Under Pressure,10/8/23 5:08
Bruce Springsteen,In Concert/MTV Plugged (Live),Atlantic City - Live at Warner Hollywood Studios Los Angeles CA - September 1992,10/8/23 5:05
Vitamin String Quartet,Beaucoup de VSQ,Digital Love,10/8/23 4:59
Frank Ocean,Moon River,Moon River,10/8/23 4:56
Foo Fighters,Greatest Hits,Everlong - acoustic version,10/8/23 4:53
Beyoncé,Lemonade,All Night,10/8/23 4:25
Talking Heads,Stop Making Sense (Live),This Must Be the Place (Naive Melody),10/8/23 4:20
Robert Palmer,Clues (Expanded Edition),Woke Up Laughing,10/8/23 4:16
Strange Ranger,She's On Fire,She's On Fire,10/8/23 4:11
Phoenix,Wolfgang Amadeus Phoenix,1901,10/8/23 4:08
The Shins,Wincing the Night Away,Phantom Limb,10/8/23 4:03
M83,Hurry Up We're Dreaming,Klaus I Love You,10/8/23 4:02
The Thermals,The Body The Blood The Machine,Test Pattern,10/8/23 3:39
feeble little horse,Girl With Fish,Freak,10/8/23 3:37
David Gray,White Ladder,Babylon,10/8/23 3:36
Jeff Buckley,Grace (Legacy Edition),I Want Someone Badly,10/8/23 3:32
Calexico,In the Reins,burn that broken bed,10/8/23 3:29
Gorillaz,Plastic Beach,Stylo (Feat. Mos Def And Bobby Womack),10/8/23 3:24
The Cure,Greatest Hits,Close to Me,10/8/23 3:19
Carly Rae Jepsen,Kiss (Deluxe),Call Me Maybe,10/8/23 3:14
Jeff Buckley,Grace (Legacy Edition),I Want Someone Badly,10/8/23 3:10
Queen,A Day At The Races (Deluxe Remastered Version),Somebody To Love - Remastered 2011,10/8/23 3:08
Blue Scholars,Bayani Redux,North By Northwest,10/8/23 3:03
Birdy Nam Nam,Birdy Nam Nam,Abbesses,10/8/23 2:58
My Chemical Romance,Three Cheers for Sweet Revenge,Helena,10/8/23 2:52
Pom Pom Squad,Death Of A Cheerleader,Drunk Voicemail,10/8/23 2:48
Glitterer,Looking Through The Shades,Perfect,10/8/23 2:44
Bleary Eyed,Wreck,Wreck,10/8/23 2:42
Death Cab for Cutie,Transatlanticism (10th Anniversary Edition),Title and Registration,10/8/23 2:39
The Clash,London Calling (Remastered),Train in Vain (Stand by Me) - Remastered,10/8/23 2:35
100 gecs,10000 gecs,Hollywood Baby,10/8/23 2:30
RJD2,Since We Last Spoke: Deluxe,Since We Last Spoke,10/8/23 2:27
Eyedea & Abilities,First Born,Birth of a Fish,10/8/23 2:23
Sufjan Stevens,Call Me By Your Name (Original Motion Picture Soundtrack),Visions of Gideon,10/8/23 2:20
Ramin Djawadi,Westworld: Season 2 (Music from the HBO Series),Heart-Shaped Box (Orchestral),10/8/23 2:16
